sample	unit	fq1	fq2
4x_Superior	SRR2069940	SRR2069940_1.fastq.gz	SRR2069940_2.fastq.gz
4x_Superior	SRR2069941	SRR2069941_1.fastq.gz	SRR2069941_2.fastq.gz
4x_Superior	SRR2069942	SRR2069942_1.fastq.gz	SRR2069942_2.fastq.gz
4x_Atlantic	SRR2070063	SRR2070063_1.fastq.gz	SRR2070063_2.fastq.gz
4x_Atlantic	SRR2070065	SRR2070065_1.fastq.gz	SRR2070065_2.fastq.gz
4x_Superior	SRR2070067	SRR2070067_1.fastq.gz	SRR2070067_2.fastq.gz
4x_LOP868	SRR6123032	SRR6123032_1.fastq.gz	SRR6123032_2.fastq.gz
4x_Atlantic	SRR5349578	SRR5349578_1.fastq.gz	SRR5349578_2.fastq.gz
4x_Kalkaska	SRR5349579	SRR5349579_1.fastq.gz	SRR5349579_2.fastq.gz
4x_Katahdin	SRR5349594	SRR5349594_1.fastq.gz	SRR5349594_2.fastq.gz
4x_Kennnebec	SRR5349593	SRR5349593_1.fastq.gz	SRR5349593_2.fastq.gz
4x_Norkotah	SRR5349581	SRR5349581_1.fastq.gz	SRR5349581_2.fastq.gz
4x_Russet_Burbank	SRR5349587	SRR5349587_1.fastq.gz	SRR5349587_2.fastq.gz
4x_Snowden	SRR5349577	SRR5349577_1.fastq.gz	SRR5349577_2.fastq.gz
4x_Superior	SRR5349638	SRR5349638_1.fastq.gz	SRR5349638_2.fastq.gz
2x_IVP101	SRR6123183	SRR6123183_1.fastq.gz	SRR6123183_2.fastq.gz
2x_PL4	SRR6123031	SRR6123031_1.fastq.gz	SRR6123031_2.fastq.gz
